Latitude,84.7,84.8,84.89999999999999,84.99999999999999,85.09999999999998,85.19999999999997,85.29999999999997,85.39999999999996,85.49999999999996,85.59999999999995,85.69999999999995,85.79999999999994,85.89999999999993,85.99999999999993,86.09999999999992,86.19999999999992,86.29999999999991,86.3999999999999,86.4999999999999,86.5999999999999,86.69999999999989,86.79999999999988,86.89999999999988,86.99999999999987,87.09999999999987,87.19999999999986,87.29999999999986,87.39999999999985,87.49999999999984,87.59999999999984,87.69999999999983,87.79999999999983,87.89999999999982,87.99999999999982,88.09999999999981,88.1999999999998,88.2999999999998,88.39999999999979,88.49999999999979,88.59999999999978,88.69999999999978,88.79999999999977,88.89999999999976,88.99999999999976,89.09999999999975,89.19999999999975,89.29999999999974,89.39999999999974,89.49999999999973,89.59999999999972,89.69999999999972,89.79999999999971,89.89999999999971,89.9999999999997,90.0999999999997,90.19999999999969,90.29999999999968,90.39999999999968,90.49999999999967,90.59999999999967,90.69999999999966,90.79999999999966,90.89999999999965,90.99999999999964,91.09999999999964,91.19999999999963,91.29999999999963,91.39999999999962,91.49999999999962,91.59999999999961,91.6999999999996,91.7999999999996,91.8999999999996,91.99999999999959,92.09999999999958,92.19999999999958,92.29999999999957,92.39999999999957,92.49999999999956,92.59999999999955,92.69999999999955,92.79999999999954,92.89999999999954,92.99999999999953,93.09999999999953,93.19999999999952,93.29999999999951,93.39999999999951,93.4999999999995,93.5999999999995,93.69999999999949,93.79999999999949,93.89999999999948,93.99999999999947,94.09999999999947,94.19999999999946,94.29999999999946,94.39999999999945,94.49999999999945,94.59999999999944,94.69999999999943,94.79999999999943,94.89999999999942,94.99999999999942,95.09999999999941,95.1999999999994,95.2999999999994,95.3999999999994,95.49999999999939,95.59999999999938,95.69999999999938,95.79999999999937,95.89999999999937,95.99999999999936,96.09999999999935,96.19999999999935,96.29999999999934,96.39999999999934,96.49999999999933,96.59999999999933,96.69999999999932,96.79999999999932,96.89999999999931,96.9999999999993,97.0999999999993,97.19999999999929,97.29999999999929,97.39999999999928,97.49999999999928,97.59999999999927,97.69999999999926,97.79999999999926,97.89999999999925,97.99999999999925,98.09999999999924,98.19999999999924,98.29999999999923,98.39999999999922,98.49999999999922,98.59999999999921,98.6999999999992,98.7999999999992,98.8999999999992,98.99999999999919,99.09999999999918,99.19999999999918,99.29999999999917,99.39999999999917,99.49999999999916,99.59999999999916,99.69999999999915,99.79999999999914,99.89999999999914,99.99999999999913,100.09999999999913,100.19999999999912,100.29999999999912,100.39999999999911,100.4999999999991,100.5999999999991,100.6999999999991,100.79999999999909,100.89999999999908,100.99999999999908,101.09999999999907,101.19999999999906,101.29999999999906,101.39999999999905,101.49999999999905,101.59999999999904,101.69999999999904,101.79999999999903,101.89999999999903,101.99999999999902,102.09999999999901,102.19999999999901,102.299999999999,102.399999999999,102.49999999999899,102.59999999999899,102.69999999999898,102.79999999999897,102.89999999999897,102.99999999999896,103.09999999999896,103.19999999999895,103.29999999999895,103.39999999999894,103.49999999999893,103.59999999999893,103.69999999999892,103.79999999999892,103.89999999999891,103.9999999999989,104.0999999999989,104.1999999999989,104.29999999999889,104.39999999999888,104.49999999999888,104.59999999999887,104.69999999999887,104.79999999999886,104.89999999999885,104.99999999999885,105.09999999999884,105.19999999999884,105.29999999999883,105.39999999999883,105.49999999999882,105.59999999999881,105.69999999999881,105.7999999999988,105.8999999999988,105.99999999999879,106.09999999999879,106.19999999999878,106.29999999999878,106.39999999999877,106.49999999999876,106.59999999999876,106.69999999999875,106.79999999999875,106.89999999999874,106.99999999999874,107.09999999999873,107.19999999999872,107.29999999999872,107.39999999999871,107.4999999999987,107.5999999999987,107.6999999999987,107.79999999999869,107.89999999999868,107.99999999999868,108.09999999999867,108.19999999999867,108.29999999999866,108.39999999999866,108.49999999999865,108.59999999999864,108.69999999999864,108.79999999999863,108.89999999999863,108.99999999999862,109.09999999999862,109.19999999999861,109.2999999999986,109.3999999999986,109.4999999999986,109.59999999999859,109.69999999999858,109.79999999999858,109.89999999999857,109.99999999999856,110.09999999999856,110.19999999999855,110.29999999999855,110.39999999999854,110.49999999999854,110.59999999999853,110.69999999999852,110.79999999999852,110.89999999999851,110.99999999999851,111.0999999999985,111.1999999999985,111.29999999999849,111.39999999999849,111.49999999999848,111.59999999999847,111.69999999999847,111.79999999999846,111.89999999999846,111.99999999999845,112.09999999999845,112.19999999999844,112.29999999999843,112.39999999999843,112.49999999999842,112.59999999999842,112.69999999999841,112.7999999999984,112.8999999999984,112.9999999999984,113.09999999999839,113.19999999999838,113.29999999999838,113.39999999999837,113.49999999999837,113.59999999999836,113.69999999999835,113.79999999999835,113.89999999999834,113.99999999999834,114.09999999999833,114.19999999999833,114.29999999999832,114.39999999999831,114.49999999999831,114.5999999999983,114.6999999999983,114.79999999999829,114.89999999999829,114.99999999999828,115.09999999999827,115.19999999999827,115.29999999999826,115.39999999999826,115.49999999999825,115.59999999999825,115.69999999999824,115.79999999999824,115.89999999999823,115.99999999999822,116.09999999999822,116.19999999999821,116.2999999999982
-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.335,,,,,,,,,4.45,,,,,,,0.71,,,,1.4233333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,2.54,7.5,,,0.41,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.1999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,8.495,,25.13,,,,,,7.39,,,,,,,,,,,,,,,,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9175,20.26,,,,,,,,,,,,,1.51,,,6.68,,13.535,,,13.18,6.01,0.84,,,,,,,,,,,,,,,,,,,,,,,,3.17,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.365,,,,,,,9.62,,,,,
-2.999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,,,,,,,,,,,,,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,1.7268749999999997,,,,,,7.2,,,,,
-2.8999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.982500000000002,4.64,,,,,,,,,,,,,,,,2.99,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,
-2.799999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.655,,,,,,,,,,,,,,3.37,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,,,6.08,20.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,1.76,,,,,,,,,,,,,,,,,,,,5.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.6999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,6.6933333333333325,2.85,3.46,4.67,,,,,,,,,,,,,,,,,6.025,,,,,,,,,,,,,,,,,,,,,,,,,,8.263333333333334,13.4975,,,,,,12.68,,,,,,,,,,,,,,,3.9033333333333338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
