ymin,97.3,97.4,97.5,97.6,97.7,97.8,97.9,98.0,98.1,98.2,98.3,98.4,98.5,98.6,98.7,98.8,98.9,99.0,99.1,99.2,99.3,99.4,99.5,99.6,99.7,99.8,99.9,100.0,100.1,100.2,100.3,100.4,100.5,100.6,100.7,100.8,100.9,101.0,101.1,101.2,101.3,101.4,101.5,101.6,101.7,101.8,101.9,102.0,102.1,102.2,102.3,102.4,102.5,102.6,102.7,102.8,102.9,103.0,103.1,103.2,103.3,103.4,103.5,103.6,103.7,103.8,103.9,104.0,104.1,104.2,104.3,104.4,104.5,104.6,104.7,104.8,104.9,105.0,105.1,105.2,105.3,105.4,105.5
11.8,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest
11.9,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest
12.0,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.1,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.2,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.3,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.4,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.5,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.6,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.7,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Sugarcane,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.8,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
12.9,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.0,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.1,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.2,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.3,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Maize,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.4,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.5,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.6,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Ag,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.7,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Sugarcane,Sugarcane,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Ag,Ag,Sugarcane,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.8,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Sugarcane,Ag,Ag,Sugarcane,Ag,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Ag,Ag,Ag,Forest,Sugarcane,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
13.9,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Sugarcane,Sugarcane,Ag,Sugarcane,Ag,Ag,Sugarcane,Ag,Ag,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Maize,Ag,Forest,Rice,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
14.0,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Ag,Ag,Sugarcane,Sugarcane,Ag,Ag,Ag,Sugarcane,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
14.1,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Ag,Ag,Sugarcane,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag
14.2,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Ag,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Sugarcane,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Forest,Ag,Ag,Ag,Rice,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Ag,Ag
14.3,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Ag,Ag,Forest,Sugarcane,Ag,Ag,Ag,Sugarcane,Sugarcane,Ag,Ag,Rice,Ag,Ag,Rice,Rice,Ag,Rice,Ag,Rice,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Ag,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Other,Ag,Ag,Forest,Forest,Forest,Forest,Ag,Ag,Forest,Ag,Forest,Forest,Ag,Ag,Ag
14.4,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Ag,Forest,Forest,Maize,Ag,Forest,Sugarcane,Ag,Ag,Sugarcane,Sugarcane,Rice,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Ag,Ag,Forest,Ag,Ag,Ag,Forest,Forest,Maize,Maize,Sugarcane,Ag,Ag,Forest,Forest,Sugarcane,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Sugarcane,Forest,Rice,Sugarcane,Rice,Rice,Ag,Ag,Forest,Ag,Forest,Forest,Forest,Ag,Forest,Forest,Ag,Forest,Forest,Forest,Ag
14.5,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Maize,Ag,Forest,Ag,Forest,Forest,Forest,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Rice,Ag,Rice,Ag,Ag,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Ag,Ag,Ag,Ag,Sugarcane,Maize,Maize,Sugarcane,Forest,Ag,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Sugarcane,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Ag,Rice,Rice,Rice,Forest,Forest,Forest,Ag
14.6,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Maize,Maize,Forest,Forest,Forest,Ag,Ag,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Ag,Maize,Other,Rice,Maize,Sugarcane,Ag,Ag,Maize,Sugarcane,Sugarcane,Sugarcane,Forest,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Forest,Ag
14.7,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Ag,Maize,Forest,Maize,Maize,Forest,Sugarcane,Sugarcane,Forest,Ag,Ag,Rice,Rice,Rice,Rice,Ag,Rice,Ag,Ag,Sugarcane,Sugarcane,Maize,Maize,Sugarcane,Sugarcane,Ag,Maize,Sugarcane,Maize,Ag,Ag,Ag,Rice,Sugarcane,Rice,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Forest,Forest
14.8,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Ag,Forest,Ag,Other,Forest,Forest,Forest,Forest,Forest,Sugarcane,Forest,Sugarcane,Sugarcane,Sugarcane,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Sugarcane,Sugarcane,Maize,Sugarcane,Sugarcane,Sugarcane,Ag,Maize,Ag,Forest,Rice,Ag,Rice,Ag,Ag,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Forest
14.9,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Maize,Forest,Forest,Maize,Maize,Forest,Sugarcane,Sugarcane,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Sugarcane,Rice,Rice,Rice,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Rice,Forest,Rice,Rice,Rice,Rice,Ag,Ag,Forest,Forest,Ag,Rice,Ag,Ag,Ag,Rice,Ag,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Ag,Forest,Forest
15.0,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Forest,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Forest,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Other,Other
15.1,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Forest,Forest,Ag,Ag,Forest,Forest,Ag,Ag,Forest,Forest,Forest,Sugarcane,Sugarcane,Sugarcane,Rice,Ag,Rice,Rice,Ag,Maize,Rice,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Rice,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Maize,Ag,Rice,Sugarcane,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Sugarcane,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Forest,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Other,Ag
15.2,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Ag,Ag,Ag,Forest,Forest,Ag,Ag,Forest,Forest,Forest,Ag,Ag,Sugarcane,Rice,Rice,Rice,Ag,Rice,Maize,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Rice,Ag,Ag,Sugarcane,Sugarcane,Sugarcane,Ag,Rice,Sugarcane,Ag,Rice,Maize,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Sugarcane,Rice,Rice,Rice,Rice,Rice,Forest,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Other,Rice,Rice,Rice,Rice,Forest
15.3,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Forest,Ag,Forest,Ag,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Maize,Sugarcane,Maize,Rice,Rice,Rice,Forest,Ag,Maize,Sugarcane,Sugarcane,Maize,Sugarcane,Sugarcane,Rice,Sugarcane,Ag,Sugarcane,Sugarcane,Sugarcane,Ag,Maize,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Other,Ag,Ag,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Forest
15.4,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Ag,Forest,Ag,Ag,Ag,Maize,Sugarcane,Sugarcane,Rice,Rice,Forest,Rice,Sugarcane,Sugarcane,Sugarcane,Ag,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Sugarcane,Ag,Rice,Rice,Rice,Ag,Sugarcane,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Forest,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Forest
15.5,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Maize,Maize,Forest,Ag,Ag,Forest,Maize,Sugarcane,Sugarcane,Rice,Rice,Forest,Rice,Rice,Sugarcane,Sugarcane,Rice,Rice,Rice,Ag,Sugarcane,Ag,Ag,Rice,Rice,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Other,Rice,Other,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Forest
15.6,Forest,Forest,Forest,Forest,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Ag,Forest,Forest,Forest,Maize,Ag,Ag,Ag,Forest,Forest,Sugarcane,Rice,Rice,Rice,Forest,Rice,Maize,Sugarcane,Rice,Rice,Rice,Rice,Rice,Maize,Sugarcane,Sugarcane,Rice,Rice,Forest,Ag,Ag,Ag,Rice,Rice,Rice,Rice,Rice,Ag,Rice,Rice,Ag,Ag,Rice,Rice,Ag,Rice,Ag,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Ag,Forest,Ag,Forest
